NO,store_order_code,order_date,store_delivery_code,delivery_date,store_name,address,total,total_with_discount,delivery_sts,discount_1,discount_2,discount_special,promotion_name,order_type,branch_name,salesman_name
1,FORD_201123_0106_NORM,2023-11-20,FDEL_201123_0103_NORM,2023-11-20,CH SÁU M?N,"13B Qu?c L? 62, Ph??ng 2, Tân An, Long An",14400000,9504000,Hoàn t?t,34,0,0,,1,CN Ho Chi Minh,SM2
2,FORD_291223_0201_NORM,2023-12-29,FDEL_291223_0175_NORM,2023-12-29,CTY KHAI NGUYÊN,"S? 58 V?nh Qu?nh- Thanh Trì, Hà N?i",81250000,81250000,Hoàn t?t,0,0,0,,1,CN Ho Chi Minh,SM1 - Minh
3,FORD_081223_0061_NORM,2023-12-08,FDEL_291223_0174_NORM,2023-12-29,CTY KHAI NGUYÊN,"S? 58 V?nh Qu?nh- Thanh Trì, Hà N?i",11700000,7335900,Hoàn t?t,34,0,5,,1,CN Ho Chi Minh,SM1 - Minh
4,FORD_271223_0191_NORM,2023-12-27,FDEL_291223_0176_NORM,2023-12-29,CTY KHAI NGUYÊN,"S? 58 V?nh Qu?nh- Thanh Trì, Hà N?i",41960000,26308920,Hoàn t?t,34,0,5,,1,CN Ho Chi Minh,SM1 - Minh
5,FORD_061223_0042_NORM,2023-12-06,FDEL_061223_0034_NORM,2023-12-06,KHÁCH L? PKH,s? 63 ???ng s? 30 Tân Phong Qu?n 7,22000,22000,Hoàn t?t,0,0,0,,1,CN Ho Chi Minh,C?a hàng n??c
6,FORD_291123_0163_NORM,2023-11-29,FDEL_291123_0158_NORM,2023-11-29,KHÁCH L? PKH,s? 63 ???ng s? 30 Tân Phong Qu?n 7,182000,182000,Hoàn t?t,0,0,0,,1,CN Ho Chi Minh,C?a hàng n??c
7,FORD_241123_0135_NORM,2023-11-24,FDEL_241123_0127_NORM,2023-11-24,KHÁCH L? PKH,s? 63 ???ng s? 30 Tân Phong Qu?n 7,1736000,1736000,Hoàn t?t,0,0,0,,1,CN Ho Chi Minh,SM1 - Minh
8,FORD_061223_0038_NORM,2023-12-06,FDEL_061223_0030_NORM,2023-12-06,"SEC - HÀNG M?T, HÀNG TH?T THOÁT","A32 KDC Tân Thu?n Nam , Ph??ng Phú Thu?n, Huy?n Nhà Bè",1580000,1580000,Hoàn t?t,0,0,0,,1,CN Ho Chi Minh,
9,FORD_021223_0011_NORM,2023-12-02,FDEL_021223_0008_NORM,2023-12-02,KHÁCH L? PKH,s? 63 ???ng s? 30 Tân Phong Qu?n 7,294000,294000,Hoàn t?t,0,0,0,,1,CN Ho Chi Minh,C?a hàng n??c
10,FORD_231223_0157_NORM,2023-12-23,FDEL_231223_0131_NORM,2023-12-23,SHOPEE_OFFICIAL,"63 duong so 30, phuong Tan Phong, Quan 7",187000,187000,Hoàn t?t,0,0,0,,1,CN Ho Chi Minh,C?a hàng n??c
11,FORD_211223_0145_NORM,2023-12-21,FDEL_211223_0115_NORM,2023-12-21,SHOPEE_OFFICIAL,"63 duong so 30, phuong Tan Phong, Quan 7",235000,235000,Hoàn t?t,0,0,0,,1,CN Ho Chi Minh,C?a hàng n??c
12,FORD_181223_0114_NORM,2023-12-18,FDEL_181223_0098_NORM,2023-12-18,SHOPEE_OFFICIAL,"63 duong so 30, phuong Tan Phong, Quan 7",189000,189000,Hoàn t?t,0,0,0,,1,CN Ho Chi Minh,C?a hàng n??c
13,FORD_141223_0103_NORM,2023-12-14,FDEL_141223_0086_NORM,2023-12-14,SHOPEE_OFFICIAL,"63 duong so 30, phuong Tan Phong, Quan 7",79000,79000,Hoàn t?t,0,0,0,,1,CN Ho Chi Minh,C?a hàng n??c
14,FORD_121223_0092_NORM,2023-12-12,FDEL_121223_0073_NORM,2023-12-12,SHOPEE_OFFICIAL,"63 duong so 30, phuong Tan Phong, Quan 7",189000,189000,Hoàn t?t,0,0,0,,1,CN Ho Chi Minh,C?a hàng n??c
15,FORD_121223_0078_NORM,2023-12-12,FDEL_121223_0067_NORM,2023-12-12,SHOPEE_OFFICIAL,"63 duong so 30, phuong Tan Phong, Quan 7",130000,130000,Hoàn t?t,0,0,0,,1,CN Ho Chi Minh,C?a hàng n??c
16,FORD_121223_0077_NORM,2023-12-12,FDEL_121223_0066_NORM,2023-12-12,SHOPEE_OFFICIAL,"63 duong so 30, phuong Tan Phong, Quan 7",130000,130000,Hoàn t?t,0,0,0,,1,CN Ho Chi Minh,C?a hàng n??c
17,FORD_111223_0068_NORM,2023-12-11,FDEL_111223_0056_NORM,2023-12-11,SHOPEE_OFFICIAL,"63 duong so 30, phuong Tan Phong, Quan 7",88000,88000,Hoàn t?t,0,0,0,,1,CN Ho Chi Minh,C?a hàng n??c
18,FORD_071223_0044_NORM,2023-12-07,FDEL_071223_0035_NORM,2023-12-07,SHOPEE_OFFICIAL,"63 duong so 30, phuong Tan Phong, Quan 7",182000,182000,Hoàn t?t,0,0,0,,1,CN Ho Chi Minh,C?a hàng n??c
19,FORD_051223_0031_NORM,2023-12-05,FDEL_061223_0023_NORM,2023-12-06,SHOPEE_OFFICIAL,"63 duong so 30, phuong Tan Phong, Quan 7",144000,144000,Hoàn t?t,0,0,0,,1,CN Ho Chi Minh,C?a hàng n??c
20,FORD_041223_0012_NORM,2023-12-04,FDEL_041223_0013_NORM,2023-12-04,SHOPEE_OFFICIAL,"63 duong so 30, phuong Tan Phong, Quan 7",956000,956000,Hoàn t?t,0,0,0,,1,CN Ho Chi Minh,C?a hàng n??c
21,FORD_011223_0001_NORM,2023-12-01,FDEL_011223_0003_NORM,2023-12-01,SHOPEE_OFFICIAL,"63 duong so 30, phuong Tan Phong, Quan 7",232000,232000,Hoàn t?t,0,0,0,,1,CN Ho Chi Minh,C?a hàng n??c
22,FORD_011223_0008_NORM,2023-12-01,FDEL_011223_0005_NORM,2023-12-01,SHOPEE_OFFICIAL,"63 duong so 30, phuong Tan Phong, Quan 7",244000,244000,Hoàn t?t,0,0,0,,1,CN Ho Chi Minh,C?a hàng n??c
