NO,store_delivery_code,delivery_date,store_name,product_code,stock_code,product_name,amount,unit_price,order_sts
1,FDEL_201123_0103_NORM,2023-11-20,CH SÁU M?N,WT001S-6HBPXTM-1,FHF-HB3120-NWBWHC,??u x?t v? sinh 312,40,79000,Hoàn t?t
2,FDEL_201123_0103_NORM,2023-11-20,CH SÁU M?N,WT011W-6HSVSTR-1,FSH-HS3F1H-0WPWHT,B? vòi sen 301 b?ng plastic. Màu tr?ng,20,130000,Hoàn t?t
3,FDEL_201123_0103_NORM,2023-11-20,CH SÁU M?N,WT000G-6L0VHTR-1,FBT-L05F21-04BWHT (FBT-L05F2R-N4BWHT),Vòi h? Zemart L502B (f27),50,22000,Hoàn t?t
4,FDEL_201123_0103_NORM,2023-11-20,CH SÁU M?N,WT0018-6QUVCTR-6,FST-QS2F31-1WPWHT,Vòi r?a chén âm ch?u tay g?t Quatro b?ng plastic. Màu tr?ng,20,195000,Hoàn t?t
5,FDEL_201123_0103_NORM,2023-11-20,CH SÁU M?N,WT011R-6HBVXTM-1,FHF-HB3110-01LWHC,Vòi x?t v? sinh Vanoz 311 b?ng plastic. Màu tr?ng b?c,20,182000,Hoàn t?t
6,FDEL_291223_0175_NORM,2023-12-29,CTY KHAI NGUYÊN,WT001I-6L0VHTR-1,FBT-L05F1R-N4BWHT,Vòi h? Zemart L501B (f21). Màu tr?ng,5000,12500,Hoàn t?t
7,FDEL_291223_0175_NORM,2023-12-29,CTY KHAI NGUYÊN,WT000G-6L0VHTR-1,FBT-L05F21-04BWHT (FBT-L05F2R-N4BWHT),Vòi h? Zemart L502B (f27),1500,12500,Hoàn t?t
8,FDEL_291223_0174_NORM,2023-12-29,CTY KHAI NGUYÊN,WT0018-6QUVCTR-6,FST-QS2F31-1WPWHT,Vòi r?a chén âm ch?u tay g?t Quatro b?ng plastic. Màu tr?ng,60,195000,Hoàn t?t
9,FDEL_291223_0176_NORM,2023-12-29,CTY KHAI NGUYÊN,WT011Q-6HBVXTR-1,FHF-HB3010-0WPWHT,Vòi x?t v? sinh Vitus 301 b?ng plastic. Màu tr?ng,160,116000,Hoàn t?t
10,FDEL_291223_0176_NORM,2023-12-29,CTY KHAI NGUYÊN,WT0018-6QUVCTR-6,FST-QS2F31-1WPWHT,Vòi r?a chén âm ch?u tay g?t Quatro b?ng plastic. Màu tr?ng,120,195000,Hoàn t?t
11,FDEL_061223_0034_NORM,2023-12-06,KHÁCH L? PKH,WT000G-6L0VHTR-1,FBT-L05F21-04BWHT (FBT-L05F2R-N4BWHT),Vòi h? Zemart L502B (f27),1,22000,Hoàn t?t
12,FDEL_291123_0158_NORM,2023-11-29,KHÁCH L? PKH,WT011R-6HBVXTM-1,FHF-HB3110-01LWHC,Vòi x?t v? sinh Vanoz 311 b?ng plastic. Màu tr?ng b?c,1,182000,Hoàn t?t
13,FDEL_241123_0127_NORM,2023-11-24,KHÁCH L? PKH,WT0063-8MOLVTR-6,FPT-MB6F10-0WPWHT,Vòi lavabo Monaco tay v?n B601.Màu tr?ng,2,111000,Hoàn t?t
14,FDEL_241123_0127_NORM,2023-11-24,KHÁCH L? PKH,WT0017-6MOVCTR-6,FST-MS2F31-1WPWHT (FST-MS2F31-0WPWHT),Vòi r?a chén âm ch?u tay v?n Monaco 203 M b?ng plastic. Màu tr?ng,2,189000,Hoàn t?t
