store_delivery_code,product_code,amount
1,WT0002-6MOVLTR-6,40
1,WT001Q-6HBVXTR-1,100
1,WT001R-6HBVXTM-1,50
1,WT001V-6HSVSTR-3,24
1,WT001W-6HSVSTR-1,40
1,WT002K-6MOV3TR-6,10
2,WT000F-6T0VHTR-1,30
2,WT001Q-6HBVXTR-1,50
2,WT0019-6PIVCTR-3,5
2,WT002N-6QUVCTR-6,5
3,WT0003-6QUVLTR-6,120
3,WT001I-6L0VHTR-1,3000
3,WT001K-6L2VHTR-6,240
3,WT001M-6VIVHTR-6,60
3,WT001Q-6HBVXTR-1,2500
3,WT001R-6HBVXTM-1,300
3,WT001S-6HBPXTM-1,480
3,WT001W-6HSVSTR-1,200
3,WT001X-6HSPSTR-1,100
3,WT001Y-6HSPDTR-1,160
3,WT0017-6MOVCTR-6,100
3,WT0018-6QUVCTR-6,240
3,WT002L-6BKB3TR-3,50
5,WT000F-6T0VHTR-1,10
5,WT000G-6L0VHTR-1,10
5,WT001K-6L2VHTR-6,10
5,WT001Q-6HBVXTR-1,10
5,WT001W-6HSVSTR-1,10
6,WT000G-6L0VHTR-1,50
6,WT001K-6L2VHTR-6,10
7,WT000F-6T0VHTR-1,100
7,WT001K-6L2VHTR-6,5
7,WT001Q-6HBVXTR-1,10
7,WT001W-6HSVSTR-1,10
8,WT0003-6QUVLTR-6,5
8,WT000B-6T0VHTR-1,20
8,WT000F-6T0VHTR-1,20
8,WT001R-6HBVXTM-1,5
8,WT001S-6HBPXTM-1,5
8,WT001V-6HSVSTR-3,10
8,WT001E-6K2V3TR-6,5
8,WT001G-6P0V2TR-3,5
8,WT001H-6P2V3TR-3,5
9,WT0002-6MOVLTR-6,50
9,WT0003-6QUVLTR-6,50
9,WT001L-6L2VHTR-1,50
9,WT001R-6HBVXTM-1,20
9,WT001V-6HSVSTR-3,20
9,WT001X-6HSPSTR-1,10
9,WT001Y-6HSPDTR-1,100
10,WT000G-6L0VHTR-1,500
10,WT001I-6L0VHTR-1,2000
10,WT001Q-6HBVXTR-1,1750
10,WT001S-6HBPXTM-1,800
10,WT0018-6QUVCTR-6,600
11,WT001M-6VIVHTR-6,10
11,WT001Q-6HBVXTR-1,400
11,WT001W-6HSVSTR-1,40
11,WT001X-6HSPSTR-1,10
11,WT001Y-6HSPDTR-1,80
11,WT0018-6QUVCTR-6,10
12,WT000B-6T0VHTR-1,100
12,WT000F-6T0VHTR-1,200
12,WT000G-6L0VHTR-1,100
12,WT001R-6HBVXTM-1,25
12,WT001S-6HBPXTM-1,50
12,WT001W-6HSVSTR-1,40
13,WT0002-6MOVLTR-6,120
13,WT001I-6L0VHTR-1,1000
13,WT001M-6VIVHTR-6,40
13,WT001Q-6HBVXTR-1,250
13,WT001R-6HBVXTM-1,100
13,WT001V-6HSVSTR-3,60
13,WT001W-6HSVSTR-1,80
13,WT001X-6HSPSTR-1,50
13,WT001Y-6HSPDTR-1,240
13,WT0017-6MOVCTR-6,100
13,WT0018-6QUVCTR-6,300
13,WT001H-6P2V3TR-3,0
13,WT002L-6BKB3TR-3,20
13,WT002N-6QUVCTR-6,70
14,WT0002-6MOVLTR-6,20
14,WT0003-6QUVLTR-6,10
14,WT000F-6T0VHTR-1,100
14,WT001M-6VIVHTR-6,11
14,WT001Q-6HBVXTR-1,5
14,WT001R-6HBVXTM-1,10
14,WT001S-6HBPXTM-1,49
14,WT001V-6HSVSTR-3,10
14,WT001W-6HSVSTR-1,10
14,WT001X-6HSPSTR-1,10
14,WT001Y-6HSPDTR-1,50
14,WT0018-6QUVCTR-6,20
14,WT001E-6K2V3TR-6,10
14,WT001G-6P0V2TR-3,20
14,WT001H-6P2V3TR-3,10
14,WT002M-6MOVCTR-6,5
15,WT0003-6QUVLTR-6,510
15,WT000G-6L0VHTR-1,500
15,WT001I-6L0VHTR-1,1500
15,WT001K-6L2VHTR-6,200
15,WT001Q-6HBVXTR-1,200
15,WT001R-6HBVXTM-1,300
15,WT001S-6HBPXTM-1,160
15,WT0018-6QUVCTR-6,400
16,WT0003-6QUVLTR-6,20
16,WT001M-6VIVHTR-6,5
16,WT0018-6QUVCTR-6,20
16,WT001E-6K2V3TR-6,30
16,WT002R-6QUVHMT-6,10
17,WT001Q-6HBVXTR-1,50
17,WT001S-6HBPXTM-1,80
17,WT0018-6QUVCTR-6,10
18,WT002K-6MOV3TR-6,200
19,WT0003-6QUVLTR-6,300
19,WT001R-6HBVXTM-1,50
19,WT001S-6HBPXTM-1,160
20,WT0003-6QUVLTR-6,60
21,WT0002-6MOVLTR-6,120
21,WT0003-6QUVLTR-6,150
21,WT000B-6T0VHTR-1,800
21,WT000G-6L0VHTR-1,700
21,WT001I-6L0VHTR-1,500
21,WT001K-6L2VHTR-6,20
21,WT001M-6VIVHTR-6,100
21,WT001Q-6HBVXTR-1,900
21,WT001S-6HBPXTM-1,80
21,WT001W-6HSVSTR-1,50
21,WT001X-6HSPSTR-1,30
21,WT001Y-6HSPDTR-1,900
21,WT0017-6MOVCTR-6,120
21,WT0018-6QUVCTR-6,120
21,WT001G-6P0V2TR-3,100
21,WT001H-6P2V3TR-3,100
21,WT002K-6MOV3TR-6,40
21,WT002L-6BKB3TR-3,15
21,WT002N-6QUVCTR-6,30
21,WT002T-6QUVCMT-1,30
22,WT001Q-6HBVXTR-1,473
22,WT001Y-6HSPDTR-1,1900
22,WT001E-6K2V3TR-6,473
23,WT002K-6MOV3TR-6,50
24,WT002K-6MOV3TR-6,50
25,WT002K-6MOV3TR-6,160
26,WT0002-6MOVLTR-6,40
26,WT0003-6QUVLTR-6,30
26,WT000B-6T0VHTR-1,300
26,WT000G-6L0VHTR-1,200
26,WT001I-6L0VHTR-1,300
26,WT001L-6L2VHTR-1,40
26,WT001Q-6HBVXTR-1,400
26,WT001R-6HBVXTM-1,250
26,WT001V-6HSVSTR-3,288
26,WT001W-6HSVSTR-1,40
26,WT001Y-6HSPDTR-1,80
26,WT0017-6MOVCTR-6,50
26,WT0018-6QUVCTR-6,60
26,WT0019-6PIVCTR-3,80
26,WT001A-6TIVCTR-1,50
26,WT001H-6P2V3TR-3,80
26,WT002K-6MOV3TR-6,50
27,WT0003-6QUVLTR-6,10
